ID_Estudiante,Logica_y_Programacion,Estructuras_de_Datos,Bases_de_Datos,Ingenieria_de_Software,Sistemas_Operativos,Redes_de_Computadores,Machine_Learning,Simulacion_de_Sistemas,Estadistica_Inferencial,Calculo_Diferencial,Fisica_Mecanica,Arquitectura_de_Computadores
8102726,4.4,2.9,3.0,2.8,2.4,3.9,2.8,3.2,4.3,3.7,2.3,5.0
1011131,3.9,2.9,2.0,2.3,3.5,2.6,4.3,4.7,4.6,4.3,1.6,4.1
1285862,4.5,4.5,2.4,5.0,2.6,4.5,3.5,3.3,2.5,4.7,2.3,3.5
1744197,1.5,3.7,4.8,4.1,4.5,3.6,3.7,3.0,2.6,2.9,2.5,2.5
4871379,4.1,3.5,4.5,2.5,1.8,3.4,2.0,3.3,2.6,3.1,4.1,2.7
3450875,2.0,3.4,3.1,2.9,2.4,4.8,2.9,5.0,4.0,3.3,4.8,3.9
4328979,4.8,2.2,4.2,3.7,4.3,2.0,3.8,3.6,3.4,3.2,3.1,1.7
7356118,3.5,3.2,3.3,4.6,2.5,3.4,2.9,3.0,4.1,3.8,3.5,4.0
7705532,3.2,3.5,3.7,3.1,2.4,3.6,4.4,3.1,4.1,3.0,2.7,4.7
2609283,2.6,2.4,3.2,3.7,2.3,4.2,2.2,3.9,3.1,3.6,3.5,2.0
6992528,4.1,3.9,3.4,4.1,3.1,3.7,4.3,4.1,4.9,2.2,2.9,3.5
2760854,2.7,4.1,3.0,4.4,3.1,4.3,3.6,2.9,3.8,4.1,4.4,3.7
2913447,4.2,4.0,3.3,4.9,3.2,3.3,4.7,4.1,4.0,3.4,1.7,3.5
3408398,2.4,3.2,4.5,3.2,2.7,4.1,3.1,4.8,4.8,3.5,3.8,3.1
4157318,3.9,5.0,4.6,2.6,2.5,4.1,3.3,2.4,3.5,4.3,4.1,2.7
8384497,2.7,4.8,2.6,2.5,2.5,3.4,3.4,1.8,3.2,4.1,4.4,2.7
6903332,5.0,5.0,2.3,3.5,2.7,2.9,3.2,3.3,3.7,3.9,4.2,3.3
6428443,3.5,3.3,2.7,4.4,2.9,5.0,4.2,3.7,4.4,2.9,4.2,3.9
5631773,2.3,2.4,4.0,4.5,3.5,5.0,4.8,3.4,3.7,3.4,3.3,4.3
5646909,3.4,3.4,2.7,3.8,2.9,4.4,2.8,3.2,3.6,3.0,3.7,3.1
1613262,2.7,3.8,4.7,2.4,4.3,4.0,3.8,3.2,2.8,1.2,4.6,3.0
1191427,2.4,3.7,4.3,2.8,3.4,2.6,3.3,3.4,3.5,4.5,3.9,2.8
8956468,3.1,4.0,4.0,4.4,4.3,2.6,3.3,3.0,3.2,4.7,3.3,4.0
7107964,3.6,3.4,3.3,3.7,4.4,4.6,4.1,4.5,3.5,3.6,2.6,2.8
8375001,4.4,2.0,2.8,2.7,4.7,3.3,3.7,3.4,4.0,2.8,2.2,3.4
4135303,2.4,2.8,3.7,4.7,4.9,4.5,3.2,3.2,2.7,3.3,2.7,4.4
5536670,3.5,5.0,2.3,2.8,3.5,3.6,3.1,2.3,4.1,3.9,3.4,3.1
2758378,4.0,5.0,4.8,3.0,3.4,3.6,3.2,3.1,3.3,2.3,2.9,4.1
3143758,3.1,5.0,3.2,4.4,3.7,1.6,5.0,2.4,3.0,2.5,3.1,2.7
5436728,2.9,2.3,2.1,2.9,4.2,3.9,2.9,3.7,3.2,3.8,4.7,2.9
1962781,3.6,2.8,3.4,1.9,3.5,3.9,3.9,3.6,3.7,3.9,3.6,5.0
4183295,4.5,5.0,3.4,4.1,2.5,2.7,3.4,3.4,5.0,4.0,3.7,4.0
9483441,3.7,3.7,5.0,3.0,3.7,1.9,4.3,2.5,3.7,3.8,3.4,4.3
7348855,3.6,3.3,2.9,2.5,3.4,3.3,3.2,4.3,3.9,3.2,2.7,3.5
6134899,3.0,4.3,3.2,3.6,3.3,3.8,3.2,5.0,3.4,3.6,4.0,3.6
1558112,5.0,3.8,2.7,3.9,3.0,1.6,1.8,2.9,2.8,3.9,2.7,3.5
3615131,2.9,4.2,3.6,3.6,4.6,4.8,4.4,3.4,3.0,3.8,4.0,2.0
7976975,3.6,2.6,3.7,2.9,4.5,2.3,3.9,3.0,3.2,4.4,4.8,3.0
1348837,2.7,2.7,2.7,4.1,5.0,3.2,3.9,3.5,2.4,4.4,3.6,3.3
7527464,3.8,4.1,4.4,4.6,3.5,4.7,3.2,3.7,2.5,4.1,3.0,3.2
5912852,3.8,5.0,4.3,4.1,3.2,1.4,2.7,2.9,2.7,2.6,2.9,3.5
7782832,2.9,3.8,3.7,3.2,3.1,3.1,3.4,5.0,2.3,2.9,3.2,4.7
7198830,3.4,4.8,2.5,2.4,3.9,3.7,5.0,3.9,3.0,3.3,4.1,2.2
6248182,5.0,4.3,3.0,3.0,4.3,3.1,3.5,3.5,3.3,4.6,3.2,3.7
2701525,4.5,3.2,4.9,2.8,3.1,5.0,1.9,3.7,4.7,3.1,2.5,3.6
3720790,4.1,5.0,3.7,3.9,3.1,3.5,2.7,5.0,3.9,3.2,4.2,3.8
6667885,2.8,5.0,4.2,4.6,5.0,4.3,3.4,3.1,3.6,4.4,3.7,4.0
6814744,3.3,4.7,3.4,2.9,3.6,4.0,2.7,4.5,3.0,3.1,3.7,3.9
4581015,3.6,3.9,2.3,5.0,4.2,4.1,3.4,2.8,2.5,1.6,2.8,4.7
5644976,4.3,2.6,3.1,2.8,4.3,3.2,4.2,3.4,2.5,3.5,3.8,3.7
8231692,4.6,5.0,3.9,3.0,2.7,3.2,3.0,1.8,3.5,1.7,3.5,4.3
9336093,3.4,3.3,3.7,3.4,3.0,2.0,3.5,2.8,3.5,3.3,1.2,3.7
7343403,3.9,3.5,3.1,3.9,3.6,3.3,2.1,4.2,3.5,5.0,3.9,5.0
3012457,4.9,2.6,1.7,3.3,4.5,3.8,2.7,3.5,4.1,3.4,3.8,3.9
7278993,3.6,4.2,4.4,3.3,3.4,4.3,4.6,4.2,3.6,3.0,3.6,2.6
4110911,3.0,2.2,5.0,3.7,4.0,2.9,3.9,3.2,4.0,2.7,3.8,4.0
9187266,3.3,4.4,2.7,3.5,3.4,4.5,3.8,3.7,4.8,3.2,3.5,3.2
6682714,5.0,4.0,3.0,2.3,2.6,3.9,4.2,2.3,3.1,3.8,4.0,4.4
6227303,5.0,3.6,3.1,3.7,5.0,3.3,3.5,3.8,3.0,3.6,4.8,4.2
2443587,2.7,3.5,4.6,4.6,3.8,4.3,2.2,3.7,3.7,4.6,3.3,3.4
8426795,4.0,3.4,3.4,5.0,3.8,4.0,3.1,4.7,3.7,2.7,3.2,2.6
1655265,3.1,4.5,3.6,3.1,4.9,3.5,3.7,2.7,2.9,5.0,4.5,3.9
6176309,3.7,5.0,4.6,2.7,5.0,2.4,3.5,4.4,3.0,2.9,3.7,3.3
1280593,3.7,3.2,2.5,5.0,4.0,3.5,4.8,4.9,3.1,3.5,5.0,4.2
6517467,4.3,2.7,2.0,3.6,3.3,3.9,3.1,3.5,3.4,3.8,3.9,2.8
8931157,4.1,4.5,2.4,3.0,2.7,4.5,3.8,3.2,3.0,1.7,3.5,2.6
3380563,3.2,3.8,4.6,4.0,4.0,3.0,3.6,5.0,2.9,5.0,2.2,3.2
7245312,4.0,4.7,4.2,4.8,1.9,3.5,3.5,4.4,1.8,3.0,3.3,3.1
2513705,3.2,2.8,2.5,2.4,4.0,3.3,2.5,4.8,3.1,2.7,3.4,3.7
9522962,4.7,2.8,3.2,3.1,3.5,3.4,3.6,3.8,2.8,4.6,3.1,3.5
1184435,4.1,4.6,4.3,4.1,3.4,3.9,2.6,4.1,3.1,3.4,2.8,2.4
1053925,2.9,4.5,3.4,3.6,2.1,3.0,1.7,3.3,3.7,2.9,4.2,3.0
2108747,4.6,4.2,2.7,3.8,3.9,3.2,3.4,3.7,4.2,4.1,3.7,3.8
4812327,4.0,3.6,4.6,4.0,3.6,3.3,5.0,4.8,4.8,4.0,4.2,3.5
8737599,4.2,3.9,5.0,3.5,4.0,2.5,4.1,3.7,5.0,4.0,3.4,2.4
9777509,4.2,3.1,3.9,4.6,2.7,3.9,2.1,3.8,2.9,4.0,2.1,2.5
3435520,3.6,3.1,3.1,3.4,3.8,3.9,3.8,4.8,1.2,3.3,3.9,3.6
2712599,2.4,3.7,4.0,3.2,3.8,3.0,4.5,4.2,1.0,4.0,4.3,2.8
7779312,2.5,3.2,3.6,2.9,3.2,3.5,3.9,1.8,4.6,4.2,3.3,4.3
5585166,2.5,4.3,4.1,2.7,3.4,3.3,4.7,3.9,3.1,3.3,3.4,3.8
6131107,2.9,3.6,3.7,2.6,2.3,3.7,4.1,4.0,3.2,4.2,2.6,4.4
7782740,4.5,2.6,3.6,2.8,3.2,3.4,5.0,3.1,1.6,2.5,3.3,2.9
5428239,3.8,2.8,3.3,5.0,3.7,3.7,4.1,3.9,3.3,3.8,3.9,2.5
5850890,3.4,3.9,4.6,3.3,3.4,3.4,2.8,4.7,4.3,2.0,4.5,3.4
3183549,3.4,3.5,4.2,2.8,4.7,2.8,2.7,4.8,4.0,3.3,4.5,4.0
9987921,4.1,3.7,4.3,3.3,3.1,4.5,2.9,4.7,4.4,4.6,3.3,2.3
3183372,2.7,3.3,2.7,3.6,4.1,3.8,2.8,2.6,4.0,3.9,2.7,2.2
8578941,2.8,3.3,3.3,3.6,3.2,2.5,3.6,2.8,2.2,3.3,3.3,4.9
3807896,4.2,4.0,3.1,4.6,3.5,3.7,4.6,3.2,3.3,4.4,2.2,2.7
6523235,3.7,3.5,3.1,3.0,4.1,4.4,3.4,3.4,1.1,1.6,2.7,2.8
2739782,3.1,2.0,2.8,4.0,2.4,4.2,3.5,2.8,2.0,3.1,3.3,5.0
7553012,2.2,3.4,4.0,3.6,3.3,3.5,3.3,3.5,3.2,3.2,2.5,3.8
1631886,3.4,2.9,3.5,2.9,3.6,1.6,3.3,2.7,2.6,3.1,3.3,3.9
3525064,3.4,3.1,4.0,2.3,1.7,3.9,3.3,3.5,4.3,3.9,4.0,3.9
3491528,3.3,3.1,2.5,3.8,3.5,4.2,3.5,2.8,1.6,3.4,4.6,1.7
9146071,2.8,4.1,4.6,4.2,3.0,2.3,4.4,4.3,2.7,3.4,4.7,5.0
9377261,3.9,2.6,4.4,4.6,4.4,1.6,3.8,4.0,4.0,3.4,4.7,5.0
7198379,3.8,3.5,3.6,3.7,4.1,4.7,3.8,2.6,3.5,3.5,2.9,3.7
2070971,2.9,3.7,4.6,3.3,4.9,3.4,3.9,4.2,3.1,3.8,2.6,3.4
